1 --> {1=0.00572233711565794, 2=0.008847440297185784, 3=0.011168516158380793, 4=0.007027453613732049, 5=0.0055622535470871435, 6=0.004525608172153268, 7=0.005576614892629968, 8=0.002137428691571208, 9=0.007288670309439902, 10=0.011509224516420375, 11=0.008650472785995619, 12=0.0036370010469427105, 13=0.003912549412360842}
21 --> {1=0.014029865416989364, 2=0.019655780187573253, 3=0.017365793650241126, 4=0.02223453451385487, 5=0.029687445609961, 6=0.007692648281412861, 7=0.02590585822241602, 8=0.0013229501018016884, 9=0.025519175180585264, 10=0.07453800469872178, 11=0.011814206541675797, 12=0.009891859530020052, 13=0.00759292877531656}
22 --> {1=0.004498371785725917, 2=0.0, 3=5.520378148466564E-4, 4=7.74063130509246E-4, 5=0.0, 6=6.889772792417528E-4, 7=0.0, 8=0.0, 9=0.0, 10=0.0011942815200236562, 11=0.0, 12=0.0, 13=0.0}
23 --> {1=0.005148072475747442, 2=0.007204677592821991, 3=0.006875049999671994, 4=0.008168686929335481, 5=0.006754720296087812, 6=0.00379191192406398, 7=0.008497739767725119, 8=0.0013318456022685672, 9=0.008875637514810691, 10=0.01736496325034683, 11=0.007061250272197718, 12=0.005490326772061176, 13=0.00607949668968294}
24 --> {1=0.010804101190051143, 2=0.011785093822593155, 3=0.011589889429826425, 4=0.00755552674737935, 5=0.011616291338240312, 6=0.003046405296040921, 7=0.011349672207163602, 8=0.0020842672691612865, 9=0.009509298799887832, 10=0.01923158584396601, 11=0.008186523689184164, 12=0.004328759863529271, 13=0.004814841228188117}
25 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
26 --> {1=0.005764130575590055, 2=0.0033357683098440096, 3=8.526727372776616E-4, 4=0.020337228884333886, 5=0.030461086247872745, 6=0.00985437787774549, 7=0.003938511878434182, 8=0.005729704998689206, 9=0.00983566177669458, 10=0.008987684932920311, 11=0.002097786966066464, 12=0.0, 13=0.0}
27 --> {1=0.0, 2=0.008715860011861776, 3=0.0036295936506549244, 4=0.009113633921563592, 5=0.003363904449394032, 6=0.026592440351990387, 7=0.005637308604535423, 8=0.0, 9=0.0021215310540995676, 10=0.0, 11=0.0, 12=6.703386958149734E-4, 13=0.0}
28 --> {1=0.006614161500779918, 2=0.012960854592931127, 3=0.014837828014808275, 4=0.006192996667644335, 5=0.0074497793964879025, 6=0.0011979568180090442, 7=0.00775582719021977, 8=4.72553005430208E-4, 9=0.012119574262710408, 10=0.011482687167397847, 11=0.0031866682572538638, 12=4.142298890976264E-4, 13=0.0039800041391650845}
29 --> {1=0.008874023808087475, 2=0.007788014320682555, 3=0.006353426705710211, 4=0.0028459533147968475, 5=0.0033363801695878723, 6=0.0022432614549231862, 7=0.005194186312587004, 8=0.0011201507820833287, 9=0.0034423961927005143, 10=0.010254348966121691, 11=0.006275637183552884, 12=0.0041813266723745015, 13=0.0010494769718141597}
30 --> {1=0.00562229067216084, 2=0.009237047142675729, 3=0.010831099208160538, 4=0.011372425632234938, 5=0.01131004342238976, 6=0.008767397830794312, 7=0.008608685186996336, 8=0.002405590529117623, 9=0.012480154272896985, 10=0.016072849027501043, 11=0.007637762527761716, 12=3.280145403678706E-4, 13=0.005499133092994669}
