1 --> {1=0.00572233711565794, 2=0.008847440297185784, 3=0.011168516158380793, 4=0.007027453613732049, 5=0.0055622535470871435, 6=0.004525608172153268, 7=0.005576614892629968, 8=0.002137428691571208, 9=0.007288670309439902, 10=0.011509224516420375, 11=0.008650472785995619, 12=0.0036370010469427105, 13=0.003912549412360842}
184 --> {1=9.169795837751909E-4, 2=0.005859018521987785, 3=0.004778761598327758, 4=0.005951648291479854, 5=0.007236971081216515, 6=0.0030786573316954483, 7=0.004672842183509348, 8=0.0028484113831776423, 9=0.009032544911991253, 10=0.01484987638192043, 11=0.003192191611026061, 12=2.6217523506037857E-4, 13=0.0034268224665825143}
185 --> {1=0.0, 2=0.00852565335508011, 3=0.003122459101784033, 4=0.009827635787689868, 5=0.01820304477878671, 6=0.004288236041406822, 7=0.0070410141719050405, 8=9.05726593741232E-4, 9=0.019530675175814468, 10=0.029378041990501574, 11=0.0024170975146981127, 12=4.100181754598382E-4, 13=0.0025301682129054677}
186 --> {1=0.011499198690205137, 2=0.002791542415788065, 3=0.002342761892621781, 4=0.008083321528835896, 5=0.0012216941478296632, 6=0.016688171694010386, 7=9.187380231626222E-4, 8=0.0, 9=0.003078550495707324, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
187 --> {1=0.019765251407195927, 2=0.027584398364699815, 3=0.02174887338500489, 4=0.006475892816695842, 5=0.009277751751130872, 6=0.0018540024635068687, 7=0.00542282155924969, 8=0.0023598569383489576, 9=0.012313473758811628, 10=0.013921760270081482, 11=0.016442897893680145, 12=0.016847065414816623, 13=9.029428813889964E-4}
188 --> {1=0.11437927252365238, 2=0.061340170972855386, 3=0.04698942251925234, 4=0.0, 5=0.0, 6=0.008964947882103433, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
189 --> {1=0.004407887557013011, 2=0.0032362326598964083, 3=0.011984459106794848, 4=0.00705739743046018, 5=0.012381924135972179, 6=0.0033851466384158713, 7=0.010168409678138058, 8=9.220278399243315E-4, 9=0.010653180124857076, 10=0.02996431470067206, 11=0.001272593383009637, 12=9.397792624622705E-4, 13=0.006212897294737767}
190 --> {1=0.01154735262597912, 2=0.007352195359497971, 3=0.0061702243956339815, 4=0.0, 5=0.0, 6=0.007700821034508043, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.006424172651199525, 13=0.0}
191 --> {1=0.003924767460662364, 2=0.006732411258491449, 3=0.012417008119975282, 4=0.0046527482186611326, 5=9.304216122868727E-4, 6=4.8138887604110513E-4, 7=0.006618705678042873, 8=7.523475201395604E-4, 9=0.015650095242951186, 10=0.007568844442123262, 11=0.0030221404966743683, 12=2.2884735374502596E-4, 13=0.0011706686070403745}
192 --> {1=0.0026223284321006154, 2=0.0044622489544855395, 3=0.004294410385915585, 4=0.0061704374639308225, 5=0.007721123257842509, 6=0.006500198150759205, 7=0.015949419250237726, 8=5.303730047048986E-4, 9=0.009444756060224574, 10=0.021715979796987223, 11=0.004151131986669335, 12=3.0751363159487865E-4, 13=0.002645454779907532}
193 --> {1=0.002194144681091774, 2=0.004833800465010668, 3=0.002429338492492777, 4=0.005256657111365467, 5=0.003861400969235269, 6=0.006744789486328561, 7=0.008455877211508683, 8=3.857258216035626E-4, 9=0.006399511637700472, 10=0.018662223462811586, 11=0.0018107005623493417, 12=0.0, 13=0.002103581022802707}
194 --> {1=0.006652402790917582, 2=0.017076785639732993, 3=0.008190654839923657, 4=0.0, 5=0.0, 6=0.0017806259424201268, 7=7.948371571611177E-4, 8=0.0037867686865495024, 9=0.004936438934790525, 10=0.004383728017164735, 11=0.003393219933326845, 12=0.005588400528326969, 13=0.003234467253796443}
195 --> {1=0.005934481794878608, 2=0.011886875917577519, 3=0.013188991255402537, 4=0.005807275479993172, 5=0.0071747379631395955, 6=0.007032167792391905, 7=0.005358590443584459, 8=0.004402032314259984, 9=0.009637444624962691, 10=0.0026936657896060377, 11=0.00572463354943894, 12=3.683469343389231E-4, 13=0.008310831723804205}
196 --> {1=5.57179473406905E-4, 2=0.004187595494999983, 3=0.006970630737768822, 4=0.011307632046374146, 5=0.0065097536348249435, 6=0.008254354932122537, 7=0.004949070397151814, 8=0.002335457735510101, 9=0.007741276216680771, 10=0.014932732461673797, 11=0.0028048659250369027, 12=0.0010233548386232563, 13=0.007828990337899671}
197 --> {1=0.00998121136330484, 2=0.005944933994017276, 3=0.0043553282186405895, 4=0.005433563866353013, 5=0.020137763640663855, 6=0.0023802502768742353, 7=0.014932727477897405, 8=4.5870097704207445E-4, 9=0.00893063101431098, 10=0.010934898986859017, 11=0.002475896728356643, 12=0.0, 13=0.015684590876271186}
198 --> {1=0.007732502195032812, 2=0.011263263893997927, 3=0.010293226706521252, 4=0.008619951840497039, 5=0.006310180625101924, 6=0.0031886042685738024, 7=0.007706524429759384, 8=0.0018033830869607402, 9=0.014491744982843717, 10=0.01509381527953674, 11=0.009945940705271317, 12=0.005237937612791823, 13=0.009401670363291093}
199 --> {1=6.706957952933968E-4, 2=0.008912969833364813, 3=0.0049328217610704736, 4=0.021036839863577513, 5=0.03516675758197592, 6=0.008793207783772418, 7=0.019515602259690994, 8=0.0, 9=0.02773698617669877, 10=0.054768294079189817, 11=0.005208919242150198, 12=0.0, 13=0.00623255301661127}
200 --> {1=0.0180717226317074, 2=0.014403287442834964, 3=0.011284364776178129, 4=0.012571003877975512, 5=0.014349216730132024, 6=0.005954031901499702, 7=0.00898794440286154, 8=8.315686354182041E-4, 9=0.009395871287212317, 10=0.026924997710981315, 11=0.006485182029683757, 12=0.005936584955697287, 13=0.006437717714764428}
201 --> {1=0.005452536349205134, 2=0.02073893753726633, 3=0.008765704234437286, 4=0.006077203342896266, 5=0.010662212450420488, 6=0.003128899078483335, 7=0.007103766632478086, 8=0.0, 9=0.025064125169904975, 10=0.04352471273291975, 11=0.0010958443020360764, 12=0.0, 13=0.002784073884282739}
202 --> {1=0.010130478556042561, 2=0.010784819345384113, 3=0.006385055957954592, 4=0.0050767930485485745, 5=0.008098429623357196, 6=0.002148159556916781, 7=0.015436892191746597, 8=0.001541233559999624, 9=0.009131281321535296, 10=0.016675115629978386, 11=0.004714440488608474, 12=0.004722283487486478, 13=0.010932647844846528}
203 --> {1=0.007578198700988583, 2=0.005185116057640023, 3=0.0096466021980048, 4=0.01482539759867779, 5=0.010384969317572929, 6=0.009685519253653877, 7=0.009931347109441302, 8=5.874983310753938E-4, 9=0.020022186254992167, 10=0.0296758876795589, 11=0.0033118892621857333, 12=2.6595773543340855E-4, 13=0.0025009496969813486}
204 --> {1=0.0066847413800879205, 2=0.008989202276300541, 3=0.005727189860141503, 4=0.007453131895564766, 5=0.006397327470252292, 6=0.002710627892920575, 7=0.004262259979486852, 8=0.007818942093103671, 9=0.013631693166937492, 10=0.022394781996713693, 11=6.575065812216458E-4, 12=0.0, 13=0.0016704443305696434}
205 --> {1=0.010814888900698668, 2=0.009425348455205675, 3=0.004067983216751085, 4=0.005609726162673476, 5=0.015166395489900113, 6=0.0037102643434580355, 7=0.012760990090406831, 8=0.0035259723068856654, 9=0.02237955283040714, 10=0.03474601974491256, 11=0.0010115485864948396, 12=0.0, 13=0.003154669587962343}
206 --> {1=0.0, 2=0.002463170123136894, 3=0.002372188692996472, 4=0.008907892375842595, 5=0.0072324620259535165, 6=0.015038732245301136, 7=0.007665049597811641, 8=0.008843229143763025, 9=0.007316309648238725, 10=0.02343201920857642, 11=0.003177982331343917, 12=0.0, 13=0.0021508220832878906}
207 --> {1=0.004875428680441662, 2=0.01023854678336185, 3=0.007424984530255467, 4=0.0031845934805322896, 5=0.003162435497740066, 6=0.005052359005495024, 7=0.004204115272597662, 8=0.0011522283515296603, 9=0.003734335762479267, 10=0.008246507489295545, 11=0.00606468502131001, 12=0.004457923476103373, 13=0.003374482692497498}
208 --> {1=0.013774050191341435, 2=0.018132626904838252, 3=0.012311072174176365, 4=0.00534803429401058, 5=0.0049501119045989184, 6=0.002266243193425301, 7=0.009982329891002907, 8=0.00259213495497201, 9=0.012457887227134519, 10=0.0219816930923915, 11=0.0068216110903960665, 12=0.00833847014479297, 13=0.003030129205087186}
209 --> {1=0.003129913711369185, 2=0.009964074801260513, 3=0.008362206716832604, 4=0.0, 5=0.0037414098296812887, 6=0.019169174053917028, 7=0.009003564047499985, 8=0.0, 9=0.009204280766999832, 10=0.0, 11=0.009947436804235075, 12=0.0, 13=0.006812656336590682}
210 --> {1=0.023812184994200233, 2=0.02646984910202334, 3=0.017042080397448006, 4=0.0073121203735183275, 5=0.009007059000945984, 6=0.0026065548356278847, 7=0.018528879081177882, 8=0.0012453199564917271, 9=0.015459394702439004, 10=0.02746103675386516, 11=0.008572024654237438, 12=0.006033812018692968, 13=0.007181080181307268}
211 --> {1=0.004903622988488613, 2=0.005734670911696869, 3=0.0032836882302947484, 4=0.008890308627159128, 5=0.008749413985467027, 6=0.00163447419874375, 7=0.007959794812515618, 8=0.0014074894677632787, 9=0.00838170675590357, 10=0.016492295755734132, 11=0.005452894943152757, 12=5.671849219727206E-4, 13=0.0019830850507399495}
212 --> {1=0.0197417720345401, 2=0.021597841315106107, 3=0.01677432027085455, 4=0.002729707213435361, 5=0.012468039358753761, 6=0.0012975130101787434, 7=0.007502355614133606, 8=0.002577582283167455, 9=0.012289025889814417, 10=0.017642641319638167, 11=0.010612517330931591, 12=0.011873169911394574, 13=0.002122423560883913}
213 --> {1=0.01775967975131462, 2=0.02604479037633243, 3=0.024319559908201772, 4=0.011892843634907772, 5=0.007830300032949924, 6=0.009339079185126904, 7=0.017134805173056336, 8=0.00620554439957076, 9=0.009819588678549658, 10=0.015076789411907682, 11=0.01860801823163274, 12=0.012090050536691176, 13=0.008777172535899333}
214 --> {1=5.921719295373907E-4, 2=0.0093764010877132, 3=0.008501866793473818, 4=0.01180779393130113, 5=0.010530139503505103, 6=0.005832332866978911, 7=0.006069695757174109, 8=7.309362906883556E-4, 9=0.0068589375160702055, 10=0.012942296988171492, 11=0.004377304351991052, 12=8.847245857903993E-4, 13=0.006656854844339777}
215 --> {1=0.0, 2=0.0020153194677603632, 3=0.001691327928182281, 4=0.022224100519266637, 5=0.03797625349706171, 6=0.025182193448803965, 7=0.006542624119090776, 8=0.002173743824978957, 9=0.007117505689207939, 10=0.014102490083416807, 11=0.0016782295728531714, 12=0.0, 13=5.07818812848781E-4}
216 --> {1=0.014108226636013662, 2=0.017182088793627422, 3=0.014419821326623228, 4=0.00890819704377835, 5=0.011058686727579982, 6=0.003638491416203385, 7=0.004540283023836835, 8=0.0024210638328298435, 9=0.0066359903860552264, 10=0.009297580802123057, 11=0.011893287889893835, 12=0.010614103514531839, 13=0.0012897164676823145}
217 --> {1=0.010890559578909609, 2=0.006550778408184966, 3=0.00405159831041389, 4=0.010618504533598451, 5=0.013096718384659565, 6=0.007815012005631618, 7=0.009985512541039321, 8=0.002101165738057082, 9=0.01157454951661913, 10=0.026183285551524937, 11=0.0035689416203291747, 12=0.0, 13=0.0039971547827177736}
218 --> {1=0.00986927805829945, 2=0.008293827829585832, 3=0.013938822616470437, 4=0.002344015148973987, 5=0.017941025557379343, 6=7.692939365758626E-4, 7=0.0041175068540920704, 8=9.88065374990435E-4, 9=0.00502051678199991, 10=8.206531340923125E-4, 11=0.0013564686551229648, 12=0.0, 13=0.004048657478180073}
219 --> {1=0.010550335673514695, 2=0.012327363918851983, 3=0.007681546064210407, 4=0.008431688544073175, 5=0.006520155264902218, 6=0.008497591936875678, 7=0.008479800522309337, 8=0.004396109091651019, 9=0.0117428280101316, 10=0.015283794327206921, 11=0.007392650190678193, 12=0.009511951588678482, 13=7.42419702475397E-4}
220 --> {1=0.01713644419674421, 2=0.021161693746749588, 3=0.02633962084766766, 4=0.012467153254659772, 5=0.004639317205007924, 6=0.0039867419304191395, 7=0.00623738334319213, 8=0.007804973501800958, 9=0.02147090554914526, 10=0.014747835059488679, 11=0.013397773126775574, 12=0.008704836386417647, 13=0.00452313142574526}
221 --> {1=0.008408782669766402, 2=0.011478861912364495, 3=0.007436840131293549, 4=0.008192390793116408, 5=0.008889199264012075, 6=0.004095069498134944, 7=0.007255298136955476, 8=0.0011197690498671005, 9=0.014738041558288627, 10=0.015315970822821894, 11=0.0075825498159251435, 12=0.0053578299797174475, 13=0.0021573636833630296}
222 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.005130947815126314, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.010360904563545438, 11=0.0, 12=0.0, 13=0.0}
223 --> {1=0.011681924018080552, 2=0.013967481577764005, 3=0.016117432097831397, 4=0.002430881337158506, 5=0.007843438248834246, 6=0.003502637827383917, 7=0.006898762691979571, 8=0.0, 9=0.006875323774119045, 10=0.011958944484920393, 11=4.383377208144305E-4, 12=0.0, 13=0.01668208786795478}
224 --> {1=0.002751471040901183, 2=0.0056191226096646806, 3=0.00790980256336084, 4=0.002274756011196134, 5=0.005860774903354829, 6=0.0024573239068868, 7=0.004128057798668784, 8=7.702605563333594E-4, 9=0.005970955779541673, 10=0.010768872853199773, 11=3.1309837201030753E-4, 12=0.0, 13=0.008950848732559056}
225 --> {1=0.0, 2=0.0024050211582174108, 3=0.0020183794767203037, 4=0.030193202061696046, 5=0.003909421273054922, 6=0.0541211431089178, 7=0.011228706082621222, 8=0.004347487649957914, 9=0.015055327248175246, 10=0.0, 11=0.0, 12=0.0, 13=0.001015637625697562}
226 --> {1=0.016107488230328038, 2=0.010489118224100332, 3=0.011834574048495495, 4=0.004289790594985599, 5=0.012935900236449908, 6=0.003216976188809794, 7=0.008970859410633757, 8=0.0, 9=0.017281485234623282, 10=0.02626165825704827, 11=7.735371543784068E-4, 12=0.0, 13=0.002405050820612741}
227 --> {1=5.868588208817222E-4, 2=0.002962460953504026, 3=0.014502143432736453, 4=0.008508781527560039, 5=0.008351985211418774, 6=0.006299726518550734, 7=0.00909006830659986, 8=0.0, 9=0.014024566083742864, 10=0.015536028515537795, 11=0.002276086014057605, 12=0.0016115178377327885, 13=0.006768793243686889}
228 --> {1=0.001415187410730744, 2=0.0137117732657877, 3=0.004509723136124485, 4=0.0, 5=6.235683049468815E-4, 6=0.0030908286277095305, 7=0.0015005940079166641, 8=0.0, 9=0.013179127147773381, 10=0.00892230758247388, 11=0.001657906134039179, 12=0.0, 13=0.009041918232045308}
229 --> {1=0.009376086965627807, 2=0.01454773749907808, 3=0.011773992620127861, 4=0.010701086368007004, 5=0.016727085343286652, 6=0.010892077379351897, 7=0.006471837916449762, 8=0.0010982981977221565, 9=0.009697982631160822, 10=0.021803219417335082, 11=0.009066555873730068, 12=0.008026441190751816, 13=0.002845472634231312}
230 --> {1=0.006384778631540106, 2=0.00495620378064307, 3=0.0077557629862655, 4=0.00749611780299204, 5=0.012445075203751106, 6=0.0010833366425018372, 7=0.0043923201825538044, 8=0.0023184357830673442, 9=0.0031202468134013525, 10=0.0049717247377722, 11=0.006453830159523989, 12=0.0, 13=0.0034751904050623326}
231 --> {1=0.010830949551327603, 2=0.013369075828186886, 3=0.011219804941063479, 4=0.005787675450601877, 5=0.007233034308863297, 6=0.005101486484458466, 7=0.004452519796475045, 8=0.001077959342208783, 9=0.00907439273600581, 10=0.016792838440888518, 11=0.006016733655215336, 12=0.007695573090718705, 13=0.0012373661707923284}
232 --> {1=0.019473936550476204, 2=0.023649565244734057, 3=0.018133056021251488, 4=0.0, 5=8.634022683879898E-4, 6=5.987302864986173E-4, 7=0.004767963619814549, 8=0.0022388386338182418, 9=0.0058203217401466365, 10=0.003277409352831116, 11=0.013780306729160492, 12=0.015983113342261927, 13=0.0015721514622901573}
233 --> {1=0.01632621675418857, 2=0.021325444190727808, 3=0.020359400669048417, 4=0.014114980285319231, 5=0.013345811231715675, 6=0.013468816868226107, 7=0.013514964903356422, 8=0.003724596703372015, 9=0.016252795593759837, 10=0.031047372925376533, 11=0.014372989565566126, 12=0.013189146040026736, 13=0.003263445795222116}
234 --> {1=0.00971731592708917, 2=0.015726318151872944, 3=0.011087020059952596, 4=0.005373400573915921, 5=0.00425034977846592, 6=0.00289176768828168, 7=0.007795991450990294, 8=0.0032483176736359753, 9=0.008128569861439628, 10=0.01685192927861978, 11=0.0051971383541491705, 12=0.005923681926439448, 13=0.002496635596166104}
235 --> {1=0.0, 2=0.01140286350077948, 3=0.012759551379535286, 4=0.020754593121838524, 5=0.0022318427323187863, 6=0.002037488155023507, 7=0.007049236415579962, 8=0.0, 9=0.016836736451002938, 10=0.008178920375058601, 11=0.0074767014547202975, 12=0.0016400727018393527, 13=0.0}
236 --> {1=0.012166050965940547, 2=0.0, 3=0.0, 4=0.07804658927183687, 5=0.004442524173926048, 6=0.011380672394285215, 7=0.018899753619345372, 8=0.0, 9=0.08196824527202874, 10=0.03837497410834588, 11=0.023386805069910595, 12=0.0, 13=0.0}
237 --> {1=0.008400126385809711, 2=0.00158032020434115, 3=0.005502499622149939, 4=0.007289400631522877, 5=0.0018086034113901912, 6=0.0021375084592225604, 7=0.00695508853506394, 8=0.0020667811163361236, 9=0.0024191285319097367, 10=0.004065099497777686, 11=7.534025756723298E-4, 12=0.0028131542772104967, 13=0.0021790946157930896}
238 --> {1=0.0, 2=6.661597784530353E-4, 3=0.0026923560482604585, 4=0.012303141541320011, 5=0.007562236419902257, 6=0.01242653139153966, 7=0.002489507550563461, 8=0.0016468596325312265, 9=0.0042053629697582405, 10=0.004132614019689408, 11=4.5357556023058686E-4, 12=0.0, 13=0.0017176839832892363}
239 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
240 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
241 --> {1=0.0019912305426963606, 2=0.00801647044259987, 3=0.003625050761080632, 4=0.003797950315391559, 5=0.004798992375658266, 6=0.003734264805457721, 7=0.012575018862530369, 8=5.852391776054053E-4, 9=0.01423792867796074, 10=0.02789061600043161, 11=0.0020046104976686806, 12=0.0, 13=0.0022143649636989305}
242 --> {1=0.002892905395517883, 2=0.004354293594583089, 3=0.004201111851367786, 4=0.01095216663915644, 5=0.014769996915160557, 6=0.003753026153760402, 7=0.01717189611414475, 8=0.0, 9=0.01382634954076075, 10=0.021767794428768018, 11=0.005685909121566121, 12=2.811553203153176E-4, 13=0.0030769631783522807}
243 --> {1=0.01984562684302784, 2=0.0245772985466525, 3=0.022010279417551768, 4=0.010362622478090808, 5=0.01439851836206513, 6=0.004335116761979835, 7=0.012964768340015526, 8=0.003739784760893439, 9=0.01293816247129808, 10=0.03820404211501901, 11=0.01828329731394593, 12=0.014772734213834796, 13=0.00753045288297579}
244 --> {1=0.008771524525672073, 2=0.011788876707945956, 3=0.013589390786736849, 4=0.017134287516115468, 5=0.019035672021456722, 6=0.00916251950660275, 7=0.012011837481468368, 8=0.0014953629555713738, 9=0.016617580910852314, 10=0.033456208327735, 11=0.007413789907917327, 12=0.006111190395570737, 13=0.008486439171951595}
245 --> {1=0.004596554402730607, 2=0.005736054466554883, 3=0.004699390023562929, 4=0.01028576945806589, 5=0.009156358207964108, 6=0.0036779352882342488, 7=0.01158419125167762, 8=6.504818049843641E-4, 9=0.014329794796888378, 10=0.027338080183211665, 11=0.0018205279443793234, 12=0.0, 13=0.002155412039444701}
246 --> {1=0.006701224588151231, 2=0.008113156149525251, 3=0.008389734833237706, 4=0.012168054170825782, 5=0.010422641292901337, 6=0.003375687422732328, 7=0.016478527613170757, 8=0.0013700799865710514, 9=0.012398400840360067, 10=0.03229897637363177, 11=0.0062063654467544825, 12=2.733454503065588E-4, 13=0.012450466856163649}
247 --> {1=8.451995590821253E-4, 2=0.007221170911765946, 3=0.004894709398361554, 4=0.006865557988345949, 5=0.003547888537314472, 6=0.008372747073706048, 7=0.004672713507141867, 8=0.007239780010886966, 9=0.007563426983344871, 10=0.012502142351391849, 11=0.005714582119670017, 12=2.0082522879665544E-4, 13=0.004550591103154222}
248 --> {1=0.018850037186617655, 2=0.017112901108736284, 3=0.014125470488471131, 4=0.0019586378437684224, 5=7.291346895179499E-4, 6=8.814969266623925E-4, 7=0.003595311120505099, 8=0.0015318369599809025, 9=0.0025290179116266723, 10=0.008425296364253798, 11=0.009444093689119705, 12=0.01093581439207395, 13=0.0010862724966861238}
249 --> {1=0.014339496118946065, 2=0.01704288987629159, 3=0.015428834247048051, 4=0.007325150513590067, 5=7.877091996419246E-4, 6=0.0011769660385072393, 7=0.004545191376974644, 8=0.01091080847657121, 9=0.008768927001583788, 10=0.013394618174579445, 11=0.01142128739968841, 12=0.013711263582510349, 13=0.0}
250 --> {1=0.004983354047729319, 2=0.008094739475382168, 3=0.006098836637370534, 4=0.010690880499396462, 5=0.012474990489547415, 6=0.0061834560255641996, 7=0.010609205587164106, 8=0.002525920293432748, 9=0.009260010143950904, 10=0.02000651180721956, 11=0.003982116483381209, 12=0.004320995143033688, 13=0.0029888356866788423}
251 --> {1=0.0, 2=0.005773109513590755, 3=0.020551916666619915, 4=0.029644888444552864, 5=0.025446011087560436, 6=0.003730745988411497, 7=0.017506411010695513, 8=0.0, 9=0.02286966609999914, 10=0.048855299408569156, 11=0.0016437664530541145, 12=0.0, 13=0.004176110826424108}
252 --> {1=0.014099086837547362, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
253 --> {1=0.009521496648214198, 2=0.016585366841247694, 3=0.01382322960857112, 4=8.929371112660229E-4, 5=0.003502615640420815, 6=0.0032561313589331052, 7=0.004410253099176877, 8=0.0030846345546805625, 9=0.006149197576776134, 10=0.006924278078392587, 11=0.00447859968697716, 12=0.00547940578195649, 13=5.109492252443011E-4}
254 --> {1=0.001877948226821511, 2=0.019844758234742955, 3=0.016654428425556735, 4=0.014585288022951037, 5=0.027834155778817943, 6=0.005969193581458395, 7=0.08743646859830957, 8=0.0, 9=0.03270983316756086, 10=0.06192625038138892, 11=0.008598488407427628, 12=0.0, 13=0.05081141132204179}
255 --> {1=0.003476799914059087, 2=0.0032292599567352166, 3=0.002061716548126264, 4=0.001488564761264001, 5=1.9108357380470412E-4, 6=0.0019410058055592844, 7=0.0, 8=0.0, 9=0.007068166654357166, 10=0.00783663765068957, 11=0.0, 12=0.0, 13=0.0}
256 --> {1=0.00824287823553087, 2=0.011559194302234186, 3=0.011627144021786502, 4=0.007987757219470442, 5=0.011252337537618074, 6=0.005820036684497054, 7=0.008250629680674906, 8=0.0038748330746087934, 9=0.009805907071756886, 10=0.027706213890070264, 11=0.006704581401235399, 12=0.00543173857797976, 13=0.008286260524401035}
257 --> {1=0.0029195439692820636, 2=0.007043986226890185, 3=0.0031205173296171037, 4=0.007075789028364465, 5=0.0013893731887346654, 6=0.004835544542912492, 7=0.006394536935023587, 8=0.007962517910916527, 9=0.009401442156733475, 10=0.013564190490759137, 11=0.0016872405632890233, 12=5.697878914427273E-4, 13=0.0019264330718490469}
258 --> {1=0.014106193758189757, 2=0.019160529187556605, 3=0.021046940568517556, 4=0.0075577850178414, 5=0.004040531744130507, 6=0.006649423729984739, 7=0.010798791172218554, 8=0.0014197513287627875, 9=0.01620050346870254, 10=0.014493310770671924, 11=0.009951051834370768, 12=0.010375643490484053, 13=0.0014348929161969164}
259 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
260 --> {1=0.005407738380942971, 2=0.007591181144014957, 3=0.007114121265699586, 4=0.007996620223614732, 5=0.021039327549549406, 6=0.002626705081294445, 7=0.005102770745107941, 8=0.001066878103268204, 9=0.0076247831749015615, 10=0.015659193960869275, 11=0.00648053655827772, 12=0.0038477865453593525, 13=0.00859877050380068}
261 --> {1=0.007551428089777049, 2=0.015462186246160055, 3=0.011334625468134674, 4=0.007988818788912382, 5=0.012559410453976759, 6=0.003167743894033244, 7=0.008550248049538243, 8=8.560265364599161E-4, 9=0.01707962246508285, 10=0.03571193142985592, 11=0.00838787063605112, 12=0.006446359743478223, 13=0.00355487756680044}
262 --> {1=0.0031059891467373176, 2=0.006801525648870575, 3=0.004396992937020418, 4=0.010838949428722407, 5=0.015052535224123042, 6=0.003817869921890772, 7=0.012466713013057542, 8=0.0012786728382229158, 9=0.009702355175198858, 10=0.03642720610669937, 11=0.0015470743087568136, 12=0.005863401516824754, 13=0.004229174197133738}
263 --> {1=0.006759409791308163, 2=0.030007960560693592, 3=0.017815622302746522, 4=0.01146765094301601, 5=0.01692802650705225, 6=0.005530377067187743, 7=0.014099779798768424, 8=0.001309350399465523, 9=0.02023119786878507, 10=0.04342752477756872, 11=0.011819641544144882, 12=0.005463918757230687, 13=0.00822442260772009}
264 --> {1=0.0060564308728470176, 2=0.009929034508020624, 3=0.00734479334148602, 4=0.0034621689281629803, 5=0.0035984676060056087, 6=0.0013492127372672857, 7=0.0037928389715007763, 8=0.0010482944296628177, 9=0.003544412494250845, 10=0.009546983140670262, 11=0.0034564214615066826, 12=0.005009809427918955, 13=7.108273747104865E-4}
265 --> {1=0.019343820700466863, 2=0.024522511375718623, 3=0.020185009986890896, 4=0.0040068522350320684, 5=0.004508842676979348, 6=0.010958873458308208, 7=0.009718840916475143, 8=0.0030683500021772446, 9=0.006520637875355899, 10=0.015474018871611785, 11=0.013042012394675772, 12=0.016709239407508944, 13=8.566381182408427E-4}
266 --> {1=0.027085714891342566, 2=0.02931166112145933, 3=0.024599390751299906, 4=0.0034803597744017473, 5=0.0034852945017024442, 6=0.023727827224503256, 7=0.00388587054612102, 8=0.0032338780266263495, 9=0.005339037813434085, 10=0.011251086572038042, 11=0.01658907522959791, 12=0.023086719272156116, 13=0.0}
267 --> {1=0.007652452505593294, 2=0.012745517568935933, 3=0.010023596889142807, 4=0.0056236772258143755, 5=0.007680324999084931, 6=0.003078571862284724, 7=0.007581125925813672, 8=0.00466613693725577, 9=0.01030808561938181, 10=0.022476385858457456, 11=0.003941592748753649, 12=0.003778900539280338, 13=0.00503192280846105}
268 --> {1=8.318667327138835E-4, 2=0.004368568637592233, 3=0.004123986025836726, 4=0.005066291840013881, 5=0.0043773312698495255, 6=0.01252491303344856, 7=0.002789699978946043, 8=7.309362906883556E-4, 9=0.003928030391689582, 10=0.012631254005037564, 11=0.005646974375853444, 12=0.0, 13=0.0037560813398724194}
269 --> {1=0.00921303153974297, 2=0.01081774213647623, 3=0.009696027397918859, 4=0.010498443185006512, 5=0.006134333962820262, 6=0.002066134761029048, 7=0.007189103919848828, 8=9.388678141818434E-4, 9=0.013603589613840346, 10=0.013446853309336093, 11=0.008622271963184977, 12=0.007020029343885199, 13=0.0076946113884734275}
270 --> {1=6.747526272095664E-4, 2=0.0034803748321495364, 3=0.0033367731520391104, 4=0.008193375429569907, 5=0.009934983856993642, 6=0.0067348697983695424, 7=0.017158721616932257, 8=0.002993476000520548, 9=0.014702916565426424, 10=0.03465445072864418, 11=0.006428945271097939, 12=0.0, 13=0.0028175444453504973}
271 --> {1=0.001280917905686679, 2=0.010640791401872173, 3=0.00300724416365715, 4=0.010145784155494171, 5=0.011583426601462754, 6=0.002747079553344681, 7=0.0034889158913388872, 8=0.0028959044789272858, 9=0.013058309117980572, 10=0.012035008201877393, 11=0.0025265766766322203, 12=3.6446060040874506E-4, 13=9.741174268226888E-4}
